,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
102,Landry Shamet,SG,21,LAC,6,6,174,3.5,10.2,.342,2.7,8.3,.323,0.8,1.9,.429,2.7,2.7,1.000,0.3,3.0,3.2,2.7,1.6,0.0,1.9,4.0,12.3,,103,124,2018-19
103,Garrett Temple,SG,32,LAC,6,0,63,2.2,8.1,.273,0.7,5.2,.143,1.5,3.0,.500,5.2,7.4,.700,0.7,4.4,5.2,1.5,2.2,0.7,1.5,5.9,10.4,,94,121,2018-19
104,Sindarius Thornwell,SG,24,LAC,4,0,12,7.8,23.3,.333,3.9,11.7,.333,3.9,11.7,.333,0.0,0.0,,0.0,15.6,15.6,0.0,3.9,0.0,0.0,7.8,19.4,,84,111,2018-19
105,Tyrone Wallace,PG,24,LAC,2,0,11,4.2,17.0,.250,0.0,0.0,,4.2,17.0,.250,8.5,12.7,.667,0.0,4.2,4.2,12.7,0.0,0.0,4.2,8.5,17.0,,88,127,2018-19
106,Lou Williams,SG,32,LAC,6,0,176,11.9,27.6,.433,1.6,4.8,.333,10.3,22.8,.453,9.0,10.9,.829,1.6,2.9,4.5,12.2,1.3,0.3,4.8,3.7,34.5,,110,124,2018-19
107,Ivica Zubac,C,21,LAC,4,3,39,10.8,21.5,.500,0.0,0.0,,10.8,21.5,.500,2.4,3.6,.667,13.2,13.2,26.3,1.2,2.4,2.4,4.8,6.0,23.9,,106,113,2018-19
108,Giannis Antetokounmpo,PF,24,MIL,15,15,514,12.0,24.4,.492,1.7,5.1,.327,10.4,19.3,.536,10.0,15.7,.637,3.5,13.7,17.2,6.8,1.6,2.8,4.7,4.5,35.7,,111,97,2018-19
109,Eric Bledsoe,PG,29,MIL,15,15,423,8.6,21.0,.411,1.9,8.2,.236,6.7,12.8,.522,4.1,5.8,.706,2.3,4.1,6.3,7.3,1.8,0.7,3.7,3.2,23.2,,101,105,2018-19
110,Malcolm Brogdon,SG,26,MIL,7,2,198,8.5,18.9,.449,3.4,9.0,.378,5.1,9.9,.512,1.7,2.7,.636,1.5,6.8,8.2,5.8,1.2,0.2,2.4,3.9,22.0,,109,105,2018-19
111,Sterling Brown,SG,23,MIL,11,5,162,4.4,11.2,.395,2.1,6.2,.333,2.4,5.0,.471,2.4,3.3,.727,1.2,7.7,8.9,5.6,1.8,0.9,2.4,5.0,13.3,,106,102,2018-19
112,Pat Connaughton,SG,26,MIL,15,0,324,5.5,11.4,.481,2.2,6.2,.357,3.3,5.2,.629,0.6,1.2,.500,1.5,12.3,13.8,3.1,0.9,1.9,1.2,2.1,13.8,,115,101,2018-19
113,Tim Frazier,PG,28,MIL,11,0,40,9.6,15.6,.615,3.6,7.2,.500,6.0,8.4,.714,2.4,2.4,1.000,0.0,10.8,10.8,12.0,1.2,0.0,3.6,6.0,25.2,,137,103,2018-19
114,George Hill,PG,32,MIL,15,0,395,7.6,14.3,.534,2.4,5.8,.417,5.2,8.5,.614,3.3,4.0,.818,1.8,4.6,6.4,5.1,1.6,0.5,0.7,4.1,21.0,,138,105,2018-19
115,Ersan İlyasova,PF,31,MIL,15,0,272,6.2,14.3,.432,2.1,7.1,.300,4.1,7.2,.561,3.5,4.4,.800,3.3,9.0,12.3,3.7,1.8,1.1,1.1,7.1,18.0,,121,101,2018-19
116,Brook Lopez,C,30,MIL,15,15,438,6.7,14.7,.455,2.4,8.2,.293,4.3,6.5,.661,2.6,3.2,.828,1.3,7.7,9.0,2.3,0.7,3.1,1.1,5.0,18.4,,115,102,2018-19
117,Khris Middleton,SF,27,MIL,15,15,515,7.8,18.7,.418,3.7,8.6,.435,4.1,10.1,.404,4.3,4.8,.885,0.8,8.0,8.8,6.1,0.8,0.0,2.7,4.1,23.7,,112,106,2018-19
118,Nikola Mirotić,PF,27,MIL,14,8,298,7.1,18.8,.376,3.5,12.2,.289,3.5,6.6,.537,3.7,4.5,.821,2.7,6.9,9.7,1.6,1.6,0.5,2.3,4.0,21.4,,102,104,2018-19
119,Tony Snell,SF,27,MIL,9,0,28,3.4,10.3,.333,1.7,3.4,.500,1.7,6.9,.250,0.0,0.0,,1.7,1.7,3.4,0.0,1.7,1.7,0.0,5.1,8.6,,95,104,2018-19
120,D.J. Wilson,PF,22,MIL,8,0,43,8.9,17.8,.500,1.1,5.6,.200,7.8,12.3,.636,2.2,2.2,1.000,1.1,10.0,11.2,4.5,0.0,1.1,7.8,7.8,21.2,,84,105,2018-19
121,Steven Adams,C,25,OKC,5,5,159,8.5,12.7,.667,0.0,0.3,.000,8.5,12.4,.683,0.9,2.4,.375,3.6,7.3,10.9,2.1,1.5,1.5,2.7,3.9,17.8,,115,110,2018-19
122,Deonte Burton,SG,25,OKC,3,0,4,12.0,60.1,.200,0.0,24.0,.000,12.0,36.1,.333,0.0,0.0,,12.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,,57,113,2018-19
123,Raymond Felton,PG,34,OKC,5,0,57,3.4,11.0,.308,1.7,6.7,.250,1.7,4.2,.400,0.8,1.7,.500,0.0,2.5,2.5,2.5,3.4,0.8,1.7,5.9,9.3,,79,110,2018-19
124,Terrance Ferguson,SG,20,OKC,5,5,128,3.4,9.4,.360,2.6,6.8,.389,0.8,2.6,.286,0.0,0.0,,0.8,3.8,4.5,2.3,0.8,0.0,1.9,7.1,9.4,,92,116,2018-19
125,Paul George,SF,28,OKC,5,5,204,10.4,23.8,.436,3.5,11.1,.319,6.8,12.7,.537,9.4,11.5,.816,1.4,8.7,10.1,4.2,1.6,0.2,4.7,4.9,33.7,,108,110,2018-19
126,Jerami Grant,PF,24,OKC,5,5,176,5.5,10.9,.500,2.5,5.5,.450,3.0,5.5,.550,2.5,3.6,.692,1.6,6.0,7.6,1.1,0.8,2.7,1.1,3.6,15.8,,122,111,2018-19
127,Markieff Morris,PF,29,OKC,5,0,59,4.1,13.0,.313,1.6,5.7,.286,2.4,7.3,.333,5.7,7.3,.778,3.3,7.3,10.6,4.1,0.8,2.4,1.6,7.3,15.5,,108,111,2018-19
128,Abdel Nader,SF,25,OKC,3,0,5,9.6,19.2,.500,0.0,0.0,,9.6,19.2,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,19.2,,99,109,2018-19
129,Nerlens Noel,C,24,OKC,5,0,60,9.6,16.0,.600,0.0,0.0,,9.6,16.0,.600,0.0,1.6,.000,8.8,6.4,15.2,0.0,1.6,2.4,4.0,7.2,19.2,,104,109,2018-19
130,Dennis Schröder,PG,25,OKC,5,0,151,8.0,17.5,.455,1.9,6.4,.300,6.0,11.1,.543,4.1,5.7,.722,0.6,4.5,5.1,5.4,1.3,0.0,1.9,3.5,22.0,,112,114,2018-19
